Episode 59: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 302: lambda_i = 3, phi_i_L = 0.0010000000000000009, phi_i_H = 0.5, Action: phi_i_H[3] increased by 0.1
Episode 303: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[4] decreased by 0.1
Episode 319: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.4, Action: phi_i_L[1] decreased by 0.1
Episode 323: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 339: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.699999999999999, Action: phi_i_H[2] increased by 0.1
Episode 340: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.699999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 359: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[4] increased by 0.1
Episode 361: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[5] increased by 0.1
Episode 366: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[3] decreased by 0.1
Episode 382: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.5, Action: phi_i_H[1] increased by 0.1
Episode 404: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[5] decreased by 0.1
Episode 409: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.699999999999999, Action: phi_i_H[0] increased by 0.1
Episode 422: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[3] increased by 0.1
Episode 427: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[4] decreased by 0.1
Episode 439: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 449: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 453: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[5] increased by 0.1
Episode 465: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.5, Action: phi_i_L[1] decreased by 0.1
Episode 492: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 498: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[5] decreased by 0.1
Episode 499: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[4] increased by 0.1
Episode 509: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[3] increased by 0.1
Episode 512: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.6, Action: phi_i_H[1] increased by 0.1
Episode 524: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 529: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.899999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 532: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
Episode 541: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[4] decreased by 0.1
Episode 566: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 578: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 585: lambda_i = 1, phi_i_L = 1.9999999999999996, phi_i_H = 3.6, Action: phi_i_L[1] decreased by 0.1
Episode 602: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.899999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 620: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 629: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.999999999999998, Action: phi_i_H[2] increased by 0.1
Episode 630: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 649: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.799999999999999, Action: phi_i_H[0] increased by 0.1
Episode 654: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 5.999999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 658: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 661: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 664: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 687: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 700: lambda_i = 1, phi_i_L = 1.9999999999999996, phi_i_H = 3.7, Action: phi_i_H[1] increased by 0.1
Episode 707: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 730: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 731: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 6.099999999999998, Action: phi_i_H[2] increased by 0.1
Episode 734: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 743: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 759: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.7, Action: phi_i_L[1] decreased by 0.1
Episode 776: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 784: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 6.099999999999998, Action: phi_i_L[3] decreased by 0.1
Episode 790: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 802: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 812: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 833: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 836: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 6.099999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 839: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 842: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.7, Action: phi_i_H[3] increased by 0.1
Episode 846: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 6.1999999999999975, Action: phi_i_H[2] increased by 0.1
Episode 860: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.8000000000000003, Action: phi_i_H[1] increased by 0.1
Episode 879: lambda_i = 0, phi_i_L = 2.9999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 893: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 902: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 916: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 918: lambda_i = 0, phi_i_L = 2.9999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 920: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 6.299999999999997, Action: phi_i_H[2] increased by 0.1
Episode 939: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 941: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 955: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 6.299999999999997, Action: phi_i_L[2] decreased by 0.1
Episode 983: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_H[5] increased by 0.1
Episode 990: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 992: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 1015: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 1019: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.8000000000000003, Action: phi_i_L[3] decreased by 0.1
Episode 1020: lambda_i = 0, phi_i_L = 2.9999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 1025: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.9000000000000004, Action: phi_i_H[1] increased by 0.1
Episode 1032: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_L[5] decreased by 0.1
Episode 1043: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1056: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 6.399999999999997, Action: phi_i_H[2] increased by 0.1
Episode 1077: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[2] increased by 0.1
Episode 1086: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 6.399999999999997, Action: phi_i_L[2] decreased by 0.1
Episode 1088: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 1091: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 4.0, Action: phi_i_H[1] increased by 0.1
Episode 1103: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_H[5] increased by 0.1
Episode 1114: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 4.899999999999999, Action: phi_i_H[0] increased by 0.1
Episode 1123: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_L[5] decreased by 0.1
Episode 1138: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_H[3] increased by 0.1
Episode 1147: lambda_i = 0, phi_i_L = 2.7999999999999994, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1154: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 6.4999999999999964, Action: phi_i_H[2] increased by 0.1
Episode 1157: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_L[3] decreased by 0.1
Episode 1173: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 4.0, Action: phi_i_L[3] decreased by 0.1
Episode 1198: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 6.4999999999999964, Action: phi_i_L[2] decreased by 0.1
Episode 1200: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 1203: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_H[5] increased by 0.1
Episode 1231: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 4.1, Action: phi_i_H[1] increased by 0.1
Episode 1234: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_H[3] increased by 0.1
Episode 1237: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_H[4] increased by 0.1
Episode 1241: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 1248: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 6.599999999999996, Action: phi_i_H[2] increased by 0.1
Episode 1253: lambda_i = 0, phi_i_L = 2.7999999999999994, phi_i_H = 4.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 1278: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_L[4] decreased by 0.1
Episode 1288: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_L[3] decreased by 0.1
Episode 1289: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 4.1, Action: phi_i_L[3] decreased by 0.1
Episode 1294: lambda_i = 0, phi_i_L = 2.6999999999999993, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1320: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.599999999999996, Action: phi_i_L[2] decreased by 0.1
Episode 1334: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_H[5] increased by 0.1
Episode 1339: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_H[3] increased by 0.1
Episode 1353: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 1357: lambda_i = 0, phi_i_L = 2.599999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1372: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_H[4] increased by 0.1
Episode 1375: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 4.199999999999999, Action: phi_i_H[1] increased by 0.1
Episode 1388: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.699999999999996, Action: phi_i_H[2] increased by 0.1
Episode 1406: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 1408: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 4.199999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 1412: lambda_i = 0, phi_i_L = 2.599999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 1424: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 1427: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[5] increased by 0.1
Episode 1439: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_H[3] increased by 0.1
Episode 1457: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_L[4] decreased by 0.1
Episode 1466: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_H[4] increased by 0.1
Episode 1473: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.699999999999996, Action: phi_i_H[4] increased by 0.1
Episode 1491: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[4] increased by 0.1
Episode 1498: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 1506: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.799999999999995, Action: phi_i_H[2] increased by 0.1
Episode 1508: lambda_i = 0, phi_i_L = 2.499999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1517: lambda_i = 0, phi_i_L = 2.499999999999999, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 1534: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 4.299999999999999, Action: phi_i_H[1] increased by 0.1
Episode 1572: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_H[5] increased by 0.1
Episode 1574: lambda_i = 0, phi_i_L = 2.499999999999999, phi_i_H = 4.799999999999999, Action: phi_i_H[5] increased by 0.1
Episode 1577: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[3] increased by 0.1
Episode 1581: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[5] decreased by 0.1
Episode 1601: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 1602: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 6.799999999999995, Action: phi_i_L[2] decreased by 0.1
Episode 1604: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[3] decreased by 0.1
Episode 1610: lambda_i = 0, phi_i_L = 2.399999999999999, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1614: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 4.299999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 1621: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_H[4] increased by 0.1
Episode 1633: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 6.899999999999995, Action: phi_i_H[2] increased by 0.1
Episode 1671: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[4] increased by 0.1
Episode 1684: lambda_i = 0, phi_i_L = 2.399999999999999, phi_i_H = 4.899999999999999, Action: phi_i_H[0] increased by 0.1
Episode 1696: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 4.399999999999999, Action: phi_i_H[1] increased by 0.1
Episode 1707: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[5] decreased by 0.1
Episode 1710: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_H[5] increased by 0.1
Episode 1715: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 6.999999999999995, Action: phi_i_H[2] increased by 0.1
Episode 1718: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[3] decreased by 0.1
Episode 1721: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 4.399999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 1737: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[4] decreased by 0.1
Episode 1742: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_H[3] increased by 0.1
Episode 1760: lambda_i = 0, phi_i_L = 2.299999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1764: lambda_i = 0, phi_i_L = 2.299999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1796: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 7.099999999999994, Action: phi_i_H[2] increased by 0.1
Episode 1798: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_H[4] increased by 0.1
Episode 1801: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 7.099999999999994, Action: phi_i_H[4] increased by 0.1
Episode 1810: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 4.499999999999998, Action: phi_i_H[1] increased by 0.1
Episode 1813: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[3] decreased by 0.1
Episode 1829: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_L[5] decreased by 0.1
Episode 1846: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_H[3] increased by 0.1
Episode 1853: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 7.199999999999994, Action: phi_i_H[2] increased by 0.1
Episode 1859: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1867: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[4] decreased by 0.1
Episode 1878: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 4.499999999999998, Action: phi_i_L[4] decreased by 0.1
Episode 1889: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_L[4] decreased by 0.1
Episode 1905: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 7.199999999999994, Action: phi_i_L[2] decreased by 0.1
Episode 1908: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 1927: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_H[3] increased by 0.1
Episode 1944: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 4.599999999999998, Action: phi_i_H[1] increased by 0.1
Episode 1945: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_H[4] increased by 0.1
Episode 1948: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[3] decreased by 0.1
Episode 1951: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_L[5] decreased by 0.1
Episode 1965: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_L[4] decreased by 0.1
Episode 1974: lambda_i = 0, phi_i_L = 2.0999999999999988, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 1985: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 4.599999999999998, Action: phi_i_L[1] decreased by 0.1
Episode 1986: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 7.299999999999994, Action: phi_i_H[2] increased by 0.1
Episode 2005: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[3] increased by 0.1
Episode 2014: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_H[5] increased by 0.1
Episode 2022: lambda_i = 2, phi_i_L = 3.4000000000000012, phi_i_H = 7.299999999999994, Action: phi_i_L[2] decreased by 0.1
Episode 2039: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_H[4] increased by 0.1
Episode 2052: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[3] decreased by 0.1
Episode 2060: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 4.6999999999999975, Action: phi_i_H[1] increased by 0.1
Episode 2063: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[4] decreased by 0.1
Episode 2073: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 4.899999999999999, Action: phi_i_L[0] increased by 0.1
Episode 2085: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[5] decreased by 0.1
Episode 2088: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 4.999999999999998, Action: phi_i_H[0] increased by 0.1
Episode 2103: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[5] increased by 0.1
Episode 2117: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.6999999999999975, Action: phi_i_L[1] decreased by 0.1
Episode 2124: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_H[3] increased by 0.1
Episode 2142: lambda_i = 2, phi_i_L = 3.300000000000001, phi_i_H = 7.299999999999994, Action: phi_i_L[2] decreased by 0.1
Episode 2148: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 5.099999999999998, Action: phi_i_H[0] increased by 0.1
Episode 2158: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_L[3] decreased by 0.1
Episode 2166: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[4] increased by 0.1
Episode 2179: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[5] decreased by 0.1
