Episode 73: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 511: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.699999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 515: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.799999999999999, Action: phi_i_H[0] increased by 0.1
Episode 532: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 533: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 537: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.6, Action: phi_i_H[1] increased by 0.1
Episode 540: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 555: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 582: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.699999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 583: lambda_i = 1, phi_i_L = 1.9999999999999996, phi_i_H = 3.6, Action: phi_i_L[1] decreased by 0.1
Episode 602: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
Episode 615: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 623: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 625: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 643: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 651: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.899999999999999, Action: phi_i_H[0] increased by 0.1
Episode 660: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 672: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 680: lambda_i = 1, phi_i_L = 1.9999999999999996, phi_i_H = 3.7, Action: phi_i_H[1] increased by 0.1
Episode 690: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.7, Action: phi_i_L[1] decreased by 0.1
Episode 694: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 5.799999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 711: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 5.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 721: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 740: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 747: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 751: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 761: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.999999999999998, Action: phi_i_H[0] increased by 0.1
Episode 764: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 766: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 778: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 804: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.7, Action: phi_i_H[5] increased by 0.1
Episode 813: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 5.899999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 818: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.8000000000000003, Action: phi_i_H[1] increased by 0.1
Episode 827: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 839: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_H[4] increased by 0.1
Episode 849: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 850: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 874: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 882: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 5.999999999999998, Action: phi_i_H[2] increased by 0.1
Episode 890: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 3.8000000000000003, Action: phi_i_L[1] decreased by 0.1
Episode 895: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 900: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 5.999999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 917: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.999999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 925: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_H[4] increased by 0.1
Episode 929: lambda_i = 0, phi_i_L = 2.9999999999999996, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 948: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_H[5] increased by 0.1
Episode 968: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 3.8000000000000003, Action: phi_i_L[1] decreased by 0.1
Episode 978: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_L[4] decreased by 0.1
Episode 980: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 992: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_H[4] increased by 0.1
Episode 996: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 3.9000000000000004, Action: phi_i_H[1] increased by 0.1
Episode 1009: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 6.099999999999998, Action: phi_i_H[2] increased by 0.1
Episode 1011: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 1025: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_L[5] decreased by 0.1
Episode 1036: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_H[5] increased by 0.1
Episode 1053: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 1073: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 1078: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_L[5] decreased by 0.1
Episode 1079: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 1094: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_H[3] increased by 0.1
Episode 1100: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 6.099999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 1104: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 4.0, Action: phi_i_H[1] increased by 0.1
Episode 1111: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 1119: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 5.099999999999998, Action: phi_i_H[0] increased by 0.1
Episode 1143: lambda_i = 2, phi_i_L = 3.9000000000000017, phi_i_H = 6.1999999999999975, Action: phi_i_H[2] increased by 0.1
Episode 1148: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 4.0, Action: phi_i_L[1] decreased by 0.1
Episode 1156: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_H[5] increased by 0.1
Episode 1157: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.2, Action: phi_i_L[3] decreased by 0.1
Episode 1171: lambda_i = 0, phi_i_L = 2.7999999999999994, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 1173: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_H[4] increased by 0.1
Episode 1200: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 4.1, Action: phi_i_H[1] increased by 0.1
Episode 1207: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 1215: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_H[3] increased by 0.1
Episode 1216: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 1225: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 4.1, Action: phi_i_L[1] decreased by 0.1
Episode 1244: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 6.1999999999999975, Action: phi_i_L[2] decreased by 0.1
Episode 1249: lambda_i = 0, phi_i_L = 2.7999999999999994, phi_i_H = 5.1999999999999975, Action: phi_i_H[0] increased by 0.1
Episode 1277: lambda_i = 2, phi_i_L = 3.8000000000000016, phi_i_H = 6.299999999999997, Action: phi_i_H[2] increased by 0.1
Episode 1287: lambda_i = 0, phi_i_L = 2.6999999999999993, phi_i_H = 5.1999999999999975, Action: phi_i_L[0] decreased by 0.1
Episode 1298: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_H[5] increased by 0.1
Episode 1302: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 1313: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 4.1, Action: phi_i_L[5] decreased by 0.1
Episode 1317: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[4] increased by 0.1
Episode 1335: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.3, Action: phi_i_L[3] decreased by 0.1
Episode 1344: lambda_i = 0, phi_i_L = 2.6999999999999993, phi_i_H = 5.1999999999999975, Action: phi_i_L[3] decreased by 0.1
Episode 1346: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.299999999999997, Action: phi_i_L[2] decreased by 0.1
Episode 1347: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.399999999999997, Action: phi_i_H[2] increased by 0.1
Episode 1358: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[4] decreased by 0.1
Episode 1378: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 4.199999999999999, Action: phi_i_H[1] increased by 0.1
Episode 1379: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_H[3] increased by 0.1
Episode 1407: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 1424: lambda_i = 0, phi_i_L = 2.599999999999999, phi_i_H = 5.1999999999999975, Action: phi_i_L[0] decreased by 0.1
Episode 1428: lambda_i = 0, phi_i_L = 2.599999999999999, phi_i_H = 5.299999999999997, Action: phi_i_H[0] increased by 0.1
Episode 1435: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[4] decreased by 0.1
Episode 1442: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[5] increased by 0.1
Episode 1445: lambda_i = 2, phi_i_L = 3.7000000000000015, phi_i_H = 6.4999999999999964, Action: phi_i_H[2] increased by 0.1
Episode 1452: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.199999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 1461: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.4000000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 1470: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_H[4] increased by 0.1
Episode 1475: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 6.4999999999999964, Action: phi_i_L[2] decreased by 0.1
Episode 1497: lambda_i = 0, phi_i_L = 2.599999999999999, phi_i_H = 5.299999999999997, Action: phi_i_L[2] decreased by 0.1
Episode 1515: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.299999999999999, Action: phi_i_H[1] increased by 0.1
Episode 1516: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.5000000000000002, Action: phi_i_H[3] increased by 0.1
Episode 1522: lambda_i = 0, phi_i_L = 2.499999999999999, phi_i_H = 5.299999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 1546: lambda_i = 2, phi_i_L = 3.6000000000000014, phi_i_H = 6.599999999999996, Action: phi_i_H[2] increased by 0.1
Episode 1554: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_H[4] increased by 0.1
Episode 1573: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[5] decreased by 0.1
Episode 1574: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.299999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 1577: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 6.599999999999996, Action: phi_i_L[2] decreased by 0.1
Episode 1584: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_H[5] increased by 0.1
Episode 1593: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_L[4] decreased by 0.1
Episode 1600: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 6.699999999999996, Action: phi_i_H[2] increased by 0.1
Episode 1620: lambda_i = 0, phi_i_L = 2.399999999999999, phi_i_H = 5.299999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 1625: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_H[3] increased by 0.1
Episode 1633: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.6000000000000003, Action: phi_i_L[3] decreased by 0.1
Episode 1654: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.399999999999999, Action: phi_i_H[1] increased by 0.1
Episode 1657: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_H[4] increased by 0.1
Episode 1659: lambda_i = 0, phi_i_L = 2.399999999999999, phi_i_H = 5.399999999999997, Action: phi_i_H[0] increased by 0.1
Episode 1661: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.399999999999999, Action: phi_i_H[0] increased by 0.1
Episode 1688: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 6.799999999999995, Action: phi_i_H[2] increased by 0.1
Episode 1706: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[4] decreased by 0.1
Episode 1712: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_H[3] increased by 0.1
Episode 1714: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.499999999999998, Action: phi_i_H[1] increased by 0.1
Episode 1721: lambda_i = 0, phi_i_L = 2.299999999999999, phi_i_H = 5.399999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 1728: lambda_i = 0, phi_i_L = 2.299999999999999, phi_i_H = 5.4999999999999964, Action: phi_i_H[0] increased by 0.1
Episode 1735: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[5] decreased by 0.1
Episode 1751: lambda_i = 2, phi_i_L = 3.4000000000000012, phi_i_H = 6.799999999999995, Action: phi_i_L[2] decreased by 0.1
Episode 1768: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_H[5] increased by 0.1
Episode 1773: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[3] decreased by 0.1
Episode 1789: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.499999999999998, Action: phi_i_L[1] decreased by 0.1
Episode 1793: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[4] decreased by 0.1
Episode 1814: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[4] increased by 0.1
Episode 1827: lambda_i = 2, phi_i_L = 3.4000000000000012, phi_i_H = 6.899999999999995, Action: phi_i_H[2] increased by 0.1
Episode 1835: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.7000000000000004, Action: phi_i_L[3] decreased by 0.1
Episode 1838: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 5.4999999999999964, Action: phi_i_L[0] decreased by 0.1
Episode 1843: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.8000000000000005, Action: phi_i_H[3] increased by 0.1
Episode 1862: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.599999999999998, Action: phi_i_H[1] increased by 0.1
Episode 1864: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_H[5] increased by 0.1
Episode 1878: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 5.4999999999999964, Action: phi_i_H[5] increased by 0.1
Episode 1899: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[5] decreased by 0.1
Episode 1905: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 4.599999999999998, Action: phi_i_L[1] decreased by 0.1
Episode 1914: lambda_i = 2, phi_i_L = 3.300000000000001, phi_i_H = 6.899999999999995, Action: phi_i_L[2] decreased by 0.1
Episode 1922: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[4] decreased by 0.1
Episode 1933: lambda_i = 2, phi_i_L = 3.300000000000001, phi_i_H = 6.999999999999995, Action: phi_i_H[2] increased by 0.1
Episode 1935: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_H[3] increased by 0.1
Episode 1956: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[3] increased by 0.1
Episode 1962: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.9000000000000006, Action: phi_i_L[3] decreased by 0.1
Episode 1973: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[5] increased by 0.1
Episode 1975: lambda_i = 0, phi_i_L = 2.0999999999999988, phi_i_H = 5.4999999999999964, Action: phi_i_L[0] decreased by 0.1
Episode 1990: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 4.599999999999998, Action: phi_i_L[1] decreased by 0.1
Episode 1993: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 6.999999999999995, Action: phi_i_L[2] decreased by 0.1
Episode 2006: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 7.099999999999994, Action: phi_i_H[2] increased by 0.1
Episode 2008: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 4.6999999999999975, Action: phi_i_H[1] increased by 0.1
Episode 2026: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[4] decreased by 0.1
Episode 2035: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[5] decreased by 0.1
Episode 2059: lambda_i = 0, phi_i_L = 2.0999999999999988, phi_i_H = 5.599999999999996, Action: phi_i_H[0] increased by 0.1
Episode 2073: lambda_i = 0, phi_i_L = 1.9999999999999987, phi_i_H = 5.599999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 2075: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 7.199999999999994, Action: phi_i_H[2] increased by 0.1
Episode 2078: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 4.6999999999999975, Action: phi_i_H[2] increased by 0.1
Episode 2079: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_H[5] increased by 0.1
Episode 2081: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_H[3] increased by 0.1
Episode 2096: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_H[4] increased by 0.1
Episode 2115: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[3] decreased by 0.1
Episode 2135: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 7.199999999999994, Action: phi_i_L[2] decreased by 0.1
Episode 2141: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 4.6999999999999975, Action: phi_i_L[2] decreased by 0.1
Episode 2143: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_L[4] decreased by 0.1
Episode 2177: lambda_i = 1, phi_i_L = 0.9999999999999988, phi_i_H = 4.6999999999999975, Action: phi_i_L[1] decreased by 0.1
Episode 2181: lambda_i = 0, phi_i_L = 1.9999999999999987, phi_i_H = 5.599999999999996, Action: phi_i_L[1] decreased by 0.1
Episode 2182: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_L[5] decreased by 0.1
